Feature ID	Taxon	Confidence
ead7edc54160fbae5dbbcb56185d4fcd	Unassigned	0.871727016
042bed9ad914d2fc88e0aac2f4e52f41	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia	0.988209406
c2e5d009d1a9e25961108346ec5ff9a5	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae; g__Butyricicoccus; s__Butyricicoccus_sp.	0.758635107
631761d16601388a2e0a4ccf7d74d294	Unassigned	0.821055518
dd3b1b78a4f05c41607c9c08698bb983	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Ruminococcus; s__Ruminococcus_callidus	0.943162105
cece7e85f44ef2d6c6e3ddae1a21fe44	Unassigned	0.787976276
f7a19e87cac1b4f9dd3e299967b301ee	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-002	0.996916333
c55f6c19b279986cc251ab60bdbc561b	d__Eukaryota	0.937392712
d1e8e79fd9e0a0be37b6b8b2a83a9466	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Phascolarctobacterium; s__uncultured_Firmicutes	0.815061984
f4e2214d443b35918a2eda6014338848	d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__[Eubacterium]_xylanophilum_group	0.977566358
c6d2de9425d9e64144cfa7ab461f46ee	Unassigned	0.780283642
ca73681106b67d96a54e0ae80b8eb1f0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Colidextribacter	0.991471168
6282ef34a475cd4f43c87568664d7326	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides	0.999999946
